count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
2, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
3, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
4, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
5, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
6, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
7, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
8, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
9, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
10, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
11, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
12, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
13, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
14, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
15, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
16, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
17, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.611, 
18, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.610, 
19, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.610, 
20, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.610, 
21, 0, -13.221, -13.038,  0.000,  0.000,  0.000, -1.610, 
22, 0, -13.221, -13.055,  0.000,  0.000,  0.000, -1.610, 
23, 0, -13.224, -13.127,  0.000,  0.000,  0.000, -1.610, 
24, 0, -13.225, -13.220,  0.000,  0.000,  0.000, -1.597, 
25, 0, -13.227, -13.349,  0.000,  0.000,  0.000, -1.592, 
26, 0, -13.230, -13.489,  0.000,  0.000,  0.000, -1.592, 
27, 0, -13.229, -13.662,  0.000,  0.000,  0.000, -1.569, 
28, 0, -13.211, -13.922,  0.000,  0.000,  0.000, -1.520, 
29, 0, -13.186, -14.292,  0.000,  0.000,  0.000, -1.498, 
30, 0, -13.151, -14.683,  0.000,  0.000,  0.000, -1.486, 
31, 0, -13.117, -15.073,  0.000,  0.000,  0.000, -1.483, 
32, 0, -13.083, -15.465,  0.000,  0.000,  0.000, -1.484, 
33, 0, -13.072, -15.836,  0.000,  0.000,  0.000, -1.552, 
34, 0, -13.092, -16.234,  0.000,  0.000,  0.000, -1.627, 
35, 0, -13.118, -16.616,  0.000,  0.000,  0.000, -1.632, 
36, 0, -13.142, -17.005,  0.000,  0.000,  0.000, -1.633, 
