count, time, abs_prox_x, abs_prox_y, abs_prox_z, 




5, 0, -17.399, -142.790,  0.000, 
5, 0, -17.244, -143.171,  0.000, 
5, 0, -18.196, -140.358,  0.000, 
5, 0, -13.327, -142.016,  0.000, 
5, 0, -8.919, -143.028,  0.000, 
5, 0, -18.003, -141.816,  0.000, 
5, 0, -12.776, -124.518,  0.000, 
5, 0, -19.120, -138.784,  0.000, 
5, 0, -8.924, -143.538,  0.000, 
5, 0, -13.068, -136.393,  0.000, 

6, 0, -17.394, -142.738,  0.000, 
6, 0, -17.239, -143.287,  0.000, 
6, 0, -13.310, -141.999,  0.000, 
6, 0, -17.995, -141.791,  0.000, 
6, 0, -18.899, -138.626,  0.000, 
6, 0, -13.066, -136.385,  0.000, 
6, 0, -17.271, -143.183,  0.000, 
6, 0, -18.169, -140.319,  0.000, 
6, 0, -17.998, -141.826,  0.000, 

7, 0, -17.407, -142.771,  0.000, 
7, 0, -17.205, -143.238,  0.000, 
7, 0, -13.268, -142.021,  0.000, 
7, 0, -18.003, -141.844,  0.000, 
7, 0, -19.052, -138.621,  0.000, 
7, 0, -13.067, -136.385,  0.000, 
7, 0, -17.253, -143.188,  0.000, 
7, 0, -18.175, -140.327,  0.000, 
7, 0, -8.916, -143.596,  0.000, 
7, 0, -30.180, -139.364,  0.000, 
7, 0, -17.351, -142.669,  0.000, 
7, 0, -12.740, -124.525,  0.000, 

8, 0, -17.363, -142.707,  0.000, 
8, 0, -13.324, -142.010,  0.000, 
8, 0, -19.020, -138.600,  0.000, 
8, 0, -13.072, -136.374,  0.000, 
8, 0, -17.245, -143.197,  0.000, 
8, 0, -30.169, -139.349,  0.000, 
8, 0, -12.776, -124.511,  0.000, 
8, 0, -18.014, -141.811,  0.000, 

9, 0, -17.364, -142.744,  0.000, 
9, 0, -13.243, -142.069,  0.000, 
9, 0, -19.042, -138.576,  0.000, 
9, 0, -13.072, -136.376,  0.000, 
9, 0, -17.249, -143.170,  0.000, 
9, 0, -12.759, -124.526,  0.000, 
9, 0, -17.997, -141.827,  0.000, 
9, 0, -18.225, -140.412,  0.000, 

10, 0, -17.360, -142.730,  0.000, 
10, 0, -13.337, -142.008,  0.000, 
10, 0, -19.057, -138.540,  0.000, 
10, 0, -13.060, -136.390,  0.000, 
10, 0, -17.219, -143.254,  0.000, 
10, 0, -18.012, -141.834,  0.000, 
10, 0, -17.278, -143.157,  0.000, 

11, 0, -17.346, -142.631,  0.000, 
11, 0, -13.261, -141.979,  0.000, 
11, 0, -18.953, -138.431,  0.000, 
11, 0, -13.101, -136.346,  0.000, 
11, 0, -17.222, -143.014,  0.000, 
11, 0, -17.962, -141.672,  0.000, 
11, 0, -8.916, -143.348,  0.000, 
11, 0, -12.419, -124.590,  0.000, 
11, 0, -17.402, -142.725,  0.000, 

12, 0, -17.203, -142.804,  0.000, 
12, 0, -13.259, -141.927,  0.000, 
12, 0, -17.925, -139.967,  0.000, 
12, 0, -17.290, -142.386,  0.000, 
12, 0, -17.843, -141.390,  0.000, 
12, 0, -18.629, -138.044,  0.000, 
12, 0, -12.334, -136.460,  0.000, 
12, 0, -11.298, -126.118,  0.000, 
